# Parameters:  ./calculate_ws 16 100000 BUB RAN 1000
# Executing command:  ./gen_trace BUB RAN 1000
#
#          Position        Interval           Pages       Pages/op.
#
               0          100000              63        0.000630
          100000          100000              61        0.000610
          200000          100000              58        0.000580
          300000          100000              56        0.000560
          400000          100000              52        0.000520
          500000          100000              49        0.000490
          600000          100000              45        0.000450
          700000          100000              40        0.000400
          800000          100000              34        0.000340
          900000           92722              25        0.000270
